ID,name,category,type,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound,ES,ES_lower_bound,ES_upper_bound
EXT09,clogP (Biobyte),Empirical,Reference,0.22666527777352258,0.16152284553470952,0.2884876273102732,0.17455555555555555,0.12259259259259257,0.2302222222222222,0.012703703703703658,-0.06900000000000005,0.0996666666666666,0.9410761288090395,0.8619546282173238,0.9780482141663931,0.9399811149353307,0.7985832499151702,1.0221759977484353,0.8485748921494856,0.7459626251054178,0.9317876632492972,0.2745602310091423,0.07413047279043929,0.42297909299584346
EXT12,MoKa_logP,Empirical,Reference,0.2774086436208425,0.19411718492055646,0.3529295386607068,0.21629629629629635,0.15407407407407414,0.28592592592592597,0.031111111111111107,-0.0681481481481482,0.1366666666666666,0.9128312586124013,0.8137114057058263,0.9668503182053856,0.928152161287227,0.7555265242115116,1.0487370306932058,0.8269802600806245,0.7196995101942139,0.9091576999887355,0.2334568465221732,0.06893051114156643,0.39847949060679383
EXT11,logP(o/w) (MOE),Empirical,Reference,0.31998842571660707,0.22241935700466892,0.40723548561089407,0.2414814814814815,0.16777777777777778,0.32222222222222224,0.10518518518518517,-0.005925925925925898,0.2233333333333333,0.8974559325842494,0.8097602187748215,0.9518285392145975,0.849785929285328,0.7457871121048828,1.0240973898526202,0.7971461108070924,0.6637168141592921,0.9060647661471358,0.2839336976690411,0.10575887292805217,0.4870480347867283
EXT10,h_logP (MOE),Empirical,Reference,0.42753384098242475,0.3332333183288317,0.5132431378192197,0.35111111111111115,0.25925925925925924,0.4462962962962963,0.17481481481481484,0.024074074074074043,0.3181481481481481,0.8324111968583586,0.6219883030283507,0.934470344157222,0.9116884125308701,0.6652471501686417,1.0609194865049143,0.7417981870189158,0.5457227138643069,0.9014965537917667,0.09196374690512045,0.006621209301276304,0.2625134651935322
EXT13,SlogP (MOE),Empirical,Reference,0.592233687610508,0.4782917132493129,0.6937792369548326,0.48888888888888893,0.3644444444444445,0.6151851851851852,0.28222222222222226,0.07962962962962965,0.4755555555555556,0.7122366768485192,0.41106840492805785,0.8712454771337783,0.8433459738797112,0.5977554678972153,1.0399420982821344,0.5493612827995784,0.3333573840081364,0.7276264462709986,0.12647976132063235,0.010659357393025736,0.2615434072720505
EXT08,YANK-SMIRNOFF-tip3p-dry-oct,Physical,Reference,1.2589457670783297,0.8828908745118483,1.6079950709340338,0.9700000000000001,0.6911111111111111,1.287037037037037,-0.8462962962962962,-1.2088888888888887,-0.5103703703703704,0.560821820793659,0.17825289884289536,0.8294463447153189,1.1213907525996558,0.6259739788963685,1.4717545154114786,0.5021403112128046,0.23214285714285718,0.7357357357357358,1.1506466112831273,0.9934182698001796,1.2833076719173875
EXT07,YANK-GAFF-tip3p-dry-oct,Physical,Reference,1.2749567893912384,0.681816745228565,1.7576404638036758,0.8774074074074074,0.5574074074074074,1.2648148148148148,-0.7374074074074075,-1.1574074074074074,-0.36925925925925923,0.550009904130038,0.18593256183496668,0.8802677903309541,1.2110930737297168,0.790115458706028,1.6171421303717644,0.599144689515278,0.3411764705882353,0.8106508875739645,1.220964530847278,1.0217529849020637,1.366439379839715
EXT02,YANK-GAFF-tip3p-wet-oct,Physical,Reference,1.8297469972851639,1.3946325680981353,2.242329311394903,1.5277777777777777,1.1592592592592592,1.9233333333333331,0.24185185185185182,-0.4466666666666666,0.9051851851851851,0.26742975953602266,0.007957870819116818,0.5915655281627281,1.1708754299090434,0.1933679075801073,1.8540131652765832,0.3105413105413106,0.03903903903903904,0.5688622754491017,0.8830008629003605,0.7151357235109329,1.0654281508552867
EXT05,YANK-SMIRNOFF-tip3p-wet-oct,Physical,Reference,1.9889733067124897,1.3801315020544103,2.6165548454521756,1.5637037037037036,1.1337037037037037,2.0703703703703704,0.2733333333333334,-0.4551851851851853,1.022962962962963,0.2586184313055654,0.01052327015245992,0.5732185893573061,1.24001424192074,0.23012465833011625,1.923135006287657,0.3048433048433049,0.02366863905325444,0.5709969788519637,0.900134792932113,0.7098680834024219,1.08330654394306
EXT01,YANK-GAFF-TIP3P-FB-wet-oct,Physical,Reference,2.0480216289367146,1.358310497422223,2.6646617463051894,1.574814814814815,1.1133333333333333,2.1051851851851855,-0.6014814814814815,-1.3503703703703704,0.11333333333333331,0.21840615684741202,0.0017911557925303723,0.5836075792031091,1.1085537695637022,-0.14902691387973638,1.7946431322718273,0.23965787580611125,-0.07384930015555073,0.5266272189349113,0.9322369422871937,0.7516369727425004,1.1101072139598105
