ID,receipt_id,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
US/PMF/MT/MD_2,e7w4x,1.2026065441365266,0.7577681043696678,1.542303472083234,1.0262499999999999,0.5974999999999999,1.45875,-0.68875,-1.3587499999999997,-0.0025000000000000577,0.8977705395031099,0.6180526508193147,0.9913194300889918,1.6454169152744629,1.2772292666912888,2.0089775164852632,0.7857142857142856,0.25000000000000006,1.0000000000000002
US/PMF/MT/MD_19,2kb3u,1.263388301354734,0.9139406435868798,1.5308453546978547,1.1275,0.7187499999999999,1.495,-0.6874999999999999,-1.37375,0.08250000000000024,0.26658388748079653,0.007451188099522235,0.8998145672517147,0.43350052207637213,-0.43536171589889155,1.359374284274655,0.2857142857142857,-0.5000000000000001,0.8400000000000001
Umbrella Sampling/TIP3P,vq30p,1.325086931110559,0.702434071639467,1.7774369538748767,1.0153750000000001,0.4388750000000001,1.605,-0.07062500000000005,-0.943375,0.843,0.49511725596162864,0.004476632563274475,0.9422189868954408,1.1248526998806687,-0.3888136043576458,2.478895292400119,0.3571428571428571,-0.45454545454545453,1.0
US/PMF/MT/MD_23,zks3c,1.3839481565434453,0.9528378665859161,1.7812460526272054,1.2412500000000002,0.8225000000000002,1.66625,-0.00874999999999998,-0.90875,0.9775000000000001,0.1867958485326099,0.00228444404939147,0.8253073102897748,0.5257961664677804,-0.5761119317249312,1.878317588843904,0.32732683535398854,-0.45454545454545453,0.9574271077563382
FEP-QM/MM,sdm0h,1.4922131215077827,1.0043219105446224,1.9228299456790248,1.3175000000000001,0.8450000000000001,1.80375,-0.4549999999999999,-1.3475000000000001,0.5900000000000002,0.9291945956786476,0.7972495311966146,0.9953634161198074,2.084128878281623,1.335521472392638,2.7095435144701217,0.8571428571428571,0.5000000000000001,1.0000000000000002
FEP-MM,n6f0q,1.515119632240306,0.9912113800799507,1.9373145072496614,1.3137499999999998,0.7862499999999999,1.8299999999999996,-1.1237499999999998,-1.78625,-0.39875000000000005,0.5879998068554029,0.01594128920044596,0.9738909036612315,1.0469775507159909,-0.19641498880122824,2.0063107534740325,0.4999999999999999,-0.3043478260869566,1.0000000000000002
US/PMF/MT/MD_9,7ihag,1.5427694254165134,0.894371287553441,2.066533933909627,1.2737499999999997,0.6987499999999999,1.8912499999999999,-0.8237499999999999,-1.7162499999999996,0.07499999999999996,0.05185108147912469,0.0001334344301961031,0.602820959625524,-0.07714610680190925,-0.42966143888473973,0.08301109762441483,-0.14285714285714285,-0.5833333333333335,0.41666666666666674
US/PMF/MT/MD_22,4mas4,1.658644024497119,0.8541223565742793,2.373375760388565,1.31,0.6787499999999999,2.05375,1.04,0.19499999999999995,1.9687499999999998,0.07747215020603483,0.00035338232568741254,0.8669381882308954,0.2355683174224343,-0.8061815840309078,1.0493867769371736,0.0,-0.8333333333333335,0.6666666666666669
US/PMF/MT/MD_4,m8t0b,1.9900471099951378,0.6124540799113029,2.951476325502205,1.4062500000000002,0.5387500000000003,2.4775,1.34125,0.4324999999999999,2.4574999999999996,0.33975318746373356,0.0015852816614106997,0.9712508379105509,0.9083942422434368,-0.5668859302362357,2.3080703370959075,0.4999999999999999,-0.14285714285714288,1.0000000000000002
SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/D,jgbg0,2.046680238825792,1.2076009274590676,2.735525543657013,1.7225,0.96875,2.5174999999999996,0.48,-0.8437499999999999,1.8724999999999996,0.9463167455704885,0.7855909047999317,0.992493232070951,2.602532070405728,2.1669423964860317,3.07019180450957,0.8571428571428571,0.5000000000000001,1.0000000000000002
US/PMF/MT/MD_12,tydzi,2.0846552472771127,1.2704133185699844,2.782586476643628,1.83125,1.2075,2.5574999999999997,1.83125,1.2075,2.5574999999999997,0.26344860007602605,0.007861799942178857,0.9688477284888797,0.29397561157517904,-0.33762130444594896,0.9332600396595216,0.3571428571428571,-0.39130434782608703,1.0
US/PMF/MT/MD_7,y7u8q,2.108103413023185,1.4483050438357243,2.8378072520874285,1.915,1.4000000000000001,2.6,1.915,1.4000000000000001,2.6,0.4278334536073012,0.009725764638744675,0.972614873380572,0.4835079803102625,-0.1432639134015782,1.0528076435513403,0.2545875386086578,-0.5421374765483944,0.8333333333333335
SOMD/AM1BCC-GAFF-TIP3P/MBAR/D,e5rqf,2.114518266650823,0.9497039012239553,2.9701325727987298,1.5812500000000003,0.6749999999999999,2.6012500000000003,1.40375,0.3587500000000001,2.5300000000000007,0.9386661011696894,0.7720404251096207,0.9930729658503581,2.2398568019093084,1.7574635386158082,2.81606872545931,0.8571428571428571,0.47826086956521746,1.0000000000000002
AMOEBA/BAR/Tinker,jgdj6,2.1175605068096637,1.0789462451855516,3.011008967107205,1.67625,0.865,2.63375,-0.9262499999999998,-2.255,0.34125000000000016,0.0687325027124355,0.00020210106571694726,0.6481277128096473,-0.2803736575178999,-1.390897583176627,0.4928816201356327,-0.07142857142857142,-0.6666666666666669,0.5652173913043479
US/PMF/MT/MD_20,zxx8g,2.390593545544704,1.1949476976001918,3.3393412524029342,1.9612499999999997,1.1074999999999995,2.9712499999999995,1.53625,0.3124999999999999,2.80375,0.07725526907203073,0.00029975759983416004,0.8788497139007662,0.4265643645584727,-1.4998288231686896,1.8773420973103678,0.0,-0.8333333333333335,0.6666666666666669
