ID,name,category,reassigned_category,type,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound,ES,ES_lower_bound,ES_upper_bound
3vqbi,cosmoquick_TZVP18+ML,Mixed,Mixed,Standard,0.40913434112881447,0.28700649343303586,0.5489411294814442,0.35545454545454547,0.24363636363636362,0.4981818181818181,-0.07909090909090916,-0.3181818181818183,0.17454545454545445,0.6602947395349474,0.2654015811266474,0.9263242023720349,0.7835093737327137,0.5137663512385192,1.1087976758045295,0.5636363636363636,0.12,0.9148936170212767,1.0621980425543698,0.8616083170674311,1.25030109223805
yd6ub,S+logP,Empirical,Empirical,Standard,0.5078117045448316,0.3084860391713641,0.6463674721788751,0.4054545454545455,0.21818181818181823,0.5836363636363635,0.08545454545454546,-0.20454545454545456,0.3836363636363637,0.6329498837693808,0.1605339908741878,0.9111534652109592,0.9860259019357622,0.43396720518915427,1.4065000965890273,0.5272727272727272,-0.04,0.8636363636363636,0.728490939546216,0.35934493403657414,1.131996068496754
0a7a8,"ML Prediction using MD Feature Vector Trained on logP_octanol_water, with Additional Meta-learner",Mixed,Mixed,Standard,0.5284109970640106,0.3468560088986362,0.6949231481381101,0.42909090909090913,0.2563636363636363,0.63,0.31636363636363635,0.07363636363636364,0.5581818181818181,0.6195061149057849,0.13609952174244516,0.9098272295072386,0.7381251790477819,0.3221829744405054,1.0319195875266471,0.45454545454545453,-0.12500000000000003,0.836734693877551,1.0061325913313124,0.7421404543378048,1.2644489665960659
REF13,SlogP (MOE),Empirical,Empirical,Reference,0.5519057890618653,0.3681526363295035,0.7086093936205424,0.47272727272727283,0.3054545454545455,0.6454545454545456,-0.27272727272727276,-0.5463636363636365,0.02363636363636362,0.6858124464227348,0.31518842224321847,0.9307397576666798,1.0598624168939257,0.5713928743423623,1.5405039158146576,0.6000000000000001,0.06976744186046512,0.9555555555555554,0.010797790605922175,-0.0,0.16293589157910768
arw58,DLPNO-CCSD(T)/cc-pVTZ//B3LYP-D3/cc-pVTZ,Other,Physical (QM),Standard,1.4057835084846002,0.8083203685308308,1.896571068581881,1.0936363636363637,0.6000000000000001,1.6427272727272728,1.01,0.4363636363636363,1.6009090909090906,0.08742942169404108,0.00011957760721289365,0.5430713323109273,-0.24177310320965234,-0.7719299347850667,0.31128014673730975,-0.2,-0.64,0.37500000000000006,-0.0,-0.0,-0.0
3oqhx,MD-CHARMM-dryoct,Physical,Physical (MM),Standard,2.1433024645498486,1.253645592951721,2.842860275401263,1.6418181818181816,0.8709090909090907,2.4690909090909092,1.1054545454545452,0.088181818181818,2.152727272727273,0.033135258095318414,0.00016692515635272534,0.3913089567018423,-0.43530654840521904,-2.0853532280698306,0.993881611560427,0.0,-0.484953385595146,0.4893617021276596,0.745241358306685,0.3971925744424603,1.1292827775239838
REF01,YANK-GAFF-TIP3P-FB-wet-oct,Physical,Physical (MM),Reference,2.399645807197387,1.1166060589613023,3.6700433487655406,1.820909090909091,1.0590909090909089,2.9290909090909096,-1.820909090909091,-2.9018181818181823,-1.0545454545454547,0.15228089764346106,0.0034566342629868602,0.8616286105973678,0.9937961106171148,-0.22530393884980968,2.1635508189608426,0.41818181818181815,-0.08333333333333334,0.7959183673469388,0.8755623849273919,0.621260572836635,1.1182911804200066
eg52i,ARROW_2017,Physical,Physical (MM),Standard,2.8615571094963475,2.0243966553474193,3.5617385948693396,2.4109090909090907,1.491818181818182,3.328181818181818,2.061818181818182,0.9327272727272728,3.2372727272727273,0.14711756247309649,0.0028470246805404865,0.5962126731210033,-0.9384150039250989,-2.0916522216599733,0.16509212730318282,-0.16363636363636364,-0.6250000000000001,0.32,0.956241261403436,0.6825864861497571,1.2063623904647205
