ID,name,category,type,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound,ES,ES_lower_bound,ES_upper_bound
REF11,logP(o/w) (MOE),Empirical,Reference,0.5426282839527024,0.2530361095323604,0.8037469072469834,0.38818181818181813,0.19454545454545455,0.6318181818181816,0.18999999999999995,-0.09727272727272736,0.5027272727272727,0.5868180914053706,0.3669558485800107,0.8909183644479527,0.9011042365030525,0.37849583237967216,1.6171961173615714,0.6727272727272727,0.36,0.9583333333333335,0.07151459778229993,-0.0,0.3236568517518724
REF13,SlogP (MOE),Empirical,Reference,0.5519057890618653,0.3717526059088221,0.7038724057926719,0.47272727272727283,0.30818181818181817,0.641818181818182,-0.27272727272727276,-0.5463636363636364,0.018181818181818177,0.6858124464227348,0.3123249120378915,0.9192638414059472,1.0598624168939257,0.5390102496129837,1.5472034207516312,0.6000000000000001,0.08333333333333334,0.9215686274509803,0.010797790605922175,-0.0,0.16938687930008173
REF12,MoKa_logP,Empirical,Reference,0.5971599450733446,0.4105760919400048,0.7609981483671178,0.5199999999999999,0.3518181818181818,0.6972727272727273,-0.0818181818181818,-0.4318181818181818,0.25999999999999995,0.6650849211611632,0.22270360152210644,0.8993080267540077,1.21378584211055,0.756671639317089,1.5277302121315897,0.5504818825631803,0.040824829046386304,0.88,-0.0,-0.0,0.008139872918310562
REF10,h_logP (MOE),Empirical,Reference,0.6049793384901668,0.3794134228708117,0.8291178225296832,0.5072727272727271,0.32999999999999985,0.7181818181818181,-0.043636363636363695,-0.4063636363636364,0.2899999999999999,0.37713500418931684,0.00849588551553693,0.8109155350674963,0.6494811799853413,-0.023875601422494667,1.2141129466292666,0.34545454545454546,-0.24,0.7959183673469388,0.02115259493057575,-0.0,0.13580298185140582
REF09,clogP (Biobyte),Empirical,Reference,0.8222198334663635,0.522928814901747,1.1118003417880389,0.6827272727272727,0.4263636363636365,0.9754545454545451,-0.2572727272727274,-0.7300000000000001,0.20272727272727267,0.4631155836650092,0.08186057348406767,0.8976193340789792,1.0852788308784407,0.4394928320045586,1.7814745108060035,0.4770842982214229,-0.04,0.8695652173913043,0.010797790605922175,-0.0,0.16432022370807206
REF02,YANK-GAFF-TIP3P-wet-oct,Physical,Reference,1.615065436332647,0.4851616412926913,2.6326378061142055,0.9745454545454545,0.4145454545454545,1.8327272727272723,-0.8309090909090906,-1.7409090909090907,-0.18000000000000005,0.21857298522471383,0.0065878710426613505,0.8754646611092872,1.0976847494075144,0.10016212025093417,2.0045480567393943,0.5272727272727272,0.10638297872340426,0.9090909090909091,1.2245248279967331,0.9463294433600511,1.422124396085109
REF07,YANK-GAFF-tip3p-dry-oct,Physical,Reference,1.7301996731854128,0.45909990990276534,2.861221925872041,0.9518181818181819,0.32090909090909076,1.9254545454545455,-0.7481818181818184,-1.8018181818181822,-0.017272727272727287,0.21754728174150492,0.005947409586329841,0.8553624489099849,1.2282677847929366,0.1005006675567426,2.312371749235731,0.4909090909090909,0.08,0.8666666666666666,1.2331907471240502,0.941124354555145,1.4406190733280728
REF08,YANK-SMIRNOFF-TIP3P-dry-oct,Physical,Reference,1.7394199660179304,0.5221372163782934,2.8607008041578017,1.050909090909091,0.4745454545454546,1.9772727272727275,-0.8309090909090909,-1.8445454545454552,-0.11909090909090897,0.07649475517546923,0.0006745905448081179,0.6954001334089754,0.6521934050888634,-0.42457701381867186,1.649889569230217,0.3090909090909091,-0.1836734693877551,0.7446808510638299,1.2177692872073869,0.9378019574456304,1.4084748812935204
REF05,YANK-SMIRNOFF-TIP3P-wet-oct,Physical,Reference,1.772902089282377,0.5526711993088247,2.8668465412206996,1.070909090909091,0.42181818181818187,2.002727272727273,-0.9672727272727273,-1.9400000000000004,-0.25727272727272726,0.07506136748817764,0.0005076695558820992,0.7101556378674854,0.6260161542954724,-0.47081969795702044,1.7091452205882358,0.34545454545454546,-0.15384615384615385,0.7777777777777777,1.1797832135886044,0.8810720268006702,1.4034635989866693
REF06,YANK-SMIRNOFF-OPC-wet-oct,Physical,Reference,2.3270386956191964,1.2067725552066555,3.45539762216633,1.8454545454545452,1.1672727272727277,2.829090909090909,-1.8454545454545452,-2.828181818181818,-1.1672727272727272,0.12942431417267516,0.00133639567612044,0.8852702257911859,0.8169601500094871,-0.540382982009111,1.8412207842379757,0.4403855060505442,-0.045454545454545456,0.834057656228299,0.8483741019145316,0.5858493569777262,1.0942868613037642
