ID,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound
TEMOA-G0,6.21836637861317,2.2164345743157456,10.161591293274668,2.8503066666666674,1.6825333333333332,4.705942222222221,1.877995555555556,0.5061555555555559,3.866386666666666
TEMOA-G1,6.00770364829839,2.276462014276637,9.76739118515163,2.9556711111111107,1.8578533333333331,4.749104444444446,1.9030933333333337,0.5816466666666671,3.8453355555555566
TEMOA-G3,6.268969469396244,2.1446416388551053,10.269737486009832,2.9699222222222215,1.82772,4.835313333333334,1.9390777777777783,0.5695111111111114,3.9550022222222228
OA-G0,6.167500724490505,2.323125066292464,9.951777496530685,3.026375,1.8329954545454548,4.890124999999999,2.4441022727272728,1.114561363636364,4.39311590909091
OA-G7,7.12037586426511,2.02521089721091,11.61445214594535,3.0411931818181817,1.5888636363636366,5.256536363636364,2.1207386363636367,0.5222727272727276,4.434372727272727
OA-G3,7.092794261752236,2.09996776490411,11.696065251117963,3.0933909090909086,1.7439090909090913,5.258536363636363,2.3270272727272725,0.8073636363636367,4.611411363636364
TEMOA-G5,5.664130250189441,2.5258059439843485,9.015473705542783,3.11272,2.1013333333333333,4.724155555555555,2.4157422222222227,1.2102244444444443,4.15236
TEMOA-G6,6.124205906854827,2.3704339218332526,9.857841384862665,3.120255555555555,1.974355555555555,4.921442222222222,2.334833333333333,0.9980666666666663,4.242004444444444
OA-G5,5.988686494587485,2.503451254132619,9.535901358335723,3.2568590909090904,2.144011363636364,4.983631818181818,2.7791318181818174,1.5256818181818184,4.5852022727272725
OA-G6,6.925318159822892,2.4024458393762727,11.074704089131151,3.330029545454545,1.9237659090909092,5.412552272727273,2.597302272727273,1.0427272727272732,4.762329545454545
OA-G1,6.393684562946045,2.6153033024175922,10.188193042015039,3.39744090909091,2.179315909090909,5.271868181818181,2.920622727272727,1.5700045454545448,4.860277272727273
OA-G4,7.263910681973025,3.095058695874618,11.540550819875813,3.6987340909090904,2.261218181818182,5.848479545454546,3.1064613636363636,1.5197727272727268,5.346029545454545
OA-G2,8.915854041104122,2.9604286861334486,14.572450813248452,3.9892954545454544,2.243636363636363,6.733450000000001,-0.20186363636363724,-3.254120454545455,1.8648522727272725
TEMOA-G4,7.747406794735325,3.390338637166893,12.285046540046608,4.14936,2.685777777777778,6.383320000000001,3.027582222222222,1.2911466666666667,5.401448888888889
TEMOA-G7,7.396383053312838,3.634691981325393,11.578420951686136,4.373606666666666,3.0923555555555557,6.386175555555557,3.575828888888889,2.0392600000000005,5.741542222222222
TEMOA-G2,7.927676822051266,3.790804476331875,12.400226909491973,4.680437777777778,3.287288888888888,6.836868888888888,3.5237266666666676,1.7931777777777778,5.89191111111111
CB8-G9,6.856469543694563,4.328159224100549,9.777500270604277,4.833986111111111,3.4670472222222215,6.6118500000000004,2.5982250000000007,0.6832305555555558,4.807483333333335
CB8-G7,6.755237197846325,4.186894532280989,9.653650114896092,4.859769444444445,3.5651166666666665,6.576177777777778,-1.5919361111111112,-3.880058333333333,0.3871555555555555
CB8-G6,6.436785263645027,4.444124710721386,8.735563339940425,4.9573527777777775,3.77,6.439541666666667,0.8715027777777777,-1.1267805555555555,3.0398694444444447
CB8-G10,7.600031479320771,4.9082620962572445,10.756827817768169,5.605944444444443,4.186111111111111,7.511455555555555,1.5212222222222214,-0.7718166666666674,4.076605555555555
CB8-G5,7.601441473917226,5.412575715097819,10.223092911394282,5.851819444444444,4.42785,7.58646111111111,3.6112638888888884,1.4961833333333339,5.882922222222223
CB8-G2,8.308524639088057,5.435100172847681,11.232494010446754,6.087661111111111,4.425275,8.105894444444447,3.158777777777778,0.6950027777777776,5.730872222222222
CB8-G1,10.678336789318415,4.529667328967008,16.402649423560273,6.12176111111111,3.765105555555555,9.37033888888889,0.5035888888888884,-2.5839000000000008,4.362238888888888
CB8-G8,9.088410606401736,5.4359034913199515,13.011706191007814,6.2691944444444445,4.413505555555556,8.67455,0.24902777777777793,-2.5383083333333336,3.4131694444444443
CB8-G0,9.914836774150928,5.3388947070843535,14.734903894296924,6.469347222222222,4.395099999999999,9.27282777777778,3.1169249999999993,0.3132777777777773,6.461633333333332
CB8-G11,8.743275062257032,4.1000725375116405,12.800116716487953,6.634200000000001,2.7686,11.097671428571429,1.5356000000000007,-4.323414285714285,8.255028571428571
CB8-G4,12.412552581079186,5.734979364706652,19.273873005451648,7.489547222222222,4.9698722222222225,11.244880555555557,2.9528805555555557,-0.47805555555555507,7.341669444444444
CB8-G3,11.30724262558688,6.308206075334642,15.528883096883261,7.76807222222222,5.366891666666667,10.720311111111108,1.493872222222222,-2.132133333333334,5.234444444444444
CB8-G13,16.131645752105662,4.420239166121476,25.432965407602115,11.021828571428573,3.8445,20.694,4.7414000000000005,-4.995928571428571,17.173785714285717
CB8-G12,23.917527567485493,9.712403151861322,36.55315550414219,17.559014285714287,7.128871428571428,30.84407142857143,4.698414285714287,-10.813457142857143,23.524328571428573
