,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
18,NMethylaniline,0.3476153846153846,0.18223076923076914,0.5638461538461537,0.49725252832245803,0.24323824977549516,0.7467158866561067
22,Phenol,0.6503846153846156,0.21653846153846157,1.1807692307692306,1.1044081255099076,0.31892849451779104,1.6617466482821392
23,Quinalbarbitone,0.6571538461538462,0.39661538461538465,0.9807692307692307,0.852028755383291,0.47749345545253297,1.2120005394769047
19,Pentobarbitone,0.6870769230769231,0.37646153846153846,1.034,0.9140031981092003,0.5221882949517497,1.2406550379041401
10,4lodophenol,0.7111538461538459,0.44576923076923075,1.0084615384615385,0.8814247644493632,0.5617623368266361,1.167818479045438
17,Ketoprofen,0.7153076923076921,0.41592307692307695,1.045230769230769,0.9244308436088579,0.5927018319007133,1.2001839923047695
24,Quinoline,0.7208461538461539,0.3646153846153847,1.116153846153846,0.9984966006644496,0.5782309892448492,1.3301792823063074
12,Amylobarbitone,0.740923076923077,0.4443076923076924,1.0392307692307694,0.9187744345259405,0.6241550596298476,1.194886541121728
14,Butobarbitone,0.7540769230769231,0.36869230769230765,1.2146153846153847,1.095269162563038,0.4807597352908447,1.5793645265398066
21,Phenobarbitone,0.7580769230769229,0.43115384615384617,1.1384615384615384,1.0017417523800924,0.5782949074650408,1.3988381167680115
3,3Chlorophenol,0.7603846153846155,0.45230769230769224,1.0896153846153844,0.9620500946496418,0.6083031253476282,1.2542519989711307
9,4Propoxyphenol,0.7786153846153846,0.5186153846153844,1.0438461538461536,0.9173827319734531,0.6429669210297381,1.147880454778083
8,4Pentoxyphenol,0.7961538461538461,0.40615384615384625,1.2792307692307692,1.1300408433735072,0.4953786430600335,1.633071669254928
5,4Chlorophenol,0.8488461538461538,0.47538461538461535,1.268076923076923,1.1195062441850117,0.7026337814033928,1.4675863229754549
1,35Dichlorophenol,0.9583076923076922,0.7132307692307691,1.2353846153846155,1.070797115021544,0.7751269871149153,1.3621673905948566
6,4Ethoxyphenol,0.9656153846153847,0.5502307692307691,1.426153846153846,1.257838469512129,0.7833899706747887,1.6592862228171392
7,4Methoxyphenol,0.9887692307692308,0.5123076923076924,1.4953846153846155,1.3364187505879574,0.8581913001728156,1.7024438542645324
0,34Dichlorophenol,1.0067692307692309,0.6136923076923076,1.4606153846153846,1.2771682619102187,0.7299329790098223,1.718873244532368
2,3Bromoquinoline,1.0419999999999998,0.4912307692307692,1.6547692307692305,1.4906930757717518,0.7802646493830941,2.071105241912376
25,Sulfamethazine,1.101307692307692,0.6731538461538462,1.567692307692308,1.377605196318262,0.9002071983715749,1.8315021157508937
4,4Butoxyphenol,1.1131538461538462,0.630923076923077,1.6646923076923081,1.472362857659546,0.8211661969887235,2.067331985545993
13,Benzoicacid,1.1896153846153847,0.4384615384615384,2.226153846153846,2.0459589626683807,0.5360449895010966,3.2424732369454787
16,Chlorpromazine,1.543076923076923,0.9084615384615383,2.2453846153846153,1.9649975533357247,1.2355441031259187,2.5998417111579935
26,rPropranolol,1.582846153846154,1.0141538461538464,2.235384615384615,1.9321173917194099,1.2349309853030406,2.549407170907959
20,Pericyazine,2.4326153846153846,1.4559999999999997,3.3769230769230765,3.005529468266013,2.1351255052284217,3.7175508480305024
11,Acebutolol,2.765384615384615,1.5523076923076924,4.0407692307692304,3.566572368751048,2.3177359642547724,4.7184197158990235
15,Celiprolol,2.781076923076923,1.602153846153846,3.9569230769230765,3.506624456214705,2.3856880317039324,4.439003699722929
